TBLID,GEOID,GEONAME,PROFLN,TITLE,ESTIMATE_1,MG_ERROR_1,ESTIMATE_2,MG_ERROR_2,ESTIMATE_3,MG_ERROR_3,ESTIMATE_4,MG_ERROR_4,ESTIMATE_5,MG_ERROR_5,ESTIMATE_6,MG_ERROR_6,ESTIMATE_7,MG_ERROR_7,ESTIMATE_8,MG_ERROR_8,OCC_CODE,OCC_DESCRIPTION
EEOALL10W,C2100US,United States - Place of Work,12.9,"Total, both sexes",,,,,,,,,,,,,,,,,1700,Astronomers and physicists
EEOALL10W,C2100US,United States - Place of Work,13,Number,895,+/-199,10,+/-17,675,+/-166,50,+/-53,0,+/-27,145,+/-84,0,+/-27,15,+/-17,1700,Astronomers and physicists
EEOALL10W,C2100US,United States - Place of Work,14,Percent,8.6,+/-1.8,0.1,+/-0.2,6.5,+/-1.5,0.5,+/-0.5,0,+/-0.3,1.4,+/-0.8,0,+/-0.3,0.1,+/-0.2,1700,Astronomers and physicists
EEOALL10W,C2100US,United States - Place of Work,14.9,Male,,,,,,,,,,,,,,,,,1700,Astronomers and physicists
EEOALL10W,C2100US,United States - Place of Work,15,Number,670,+/-169,0,+/-27,525,+/-141,35,+/-41,0,+/-27,100,+/-69,0,+/-27,15,+/-17,1700,Astronomers and physicists
EEOALL10W,C2100US,United States - Place of Work,16,Percent,6.4,+/-1.6,0,+/-0.3,5.1,+/-1.3,0.3,+/-0.4,0,+/-0.3,1,+/-0.7,0,+/-0.3,0.1,+/-0.2,1700,Astronomers and physicists
EEOALL10W,C2100US,United States - Place of Work,16.9,Female,,,,,,,,,,,,,,,,,1700,Astronomers and physicists
EEOALL10W,C2100US,United States - Place of Work,17,Number,225,+/-98,10,+/-17,155,+/-77,15,+/-31,0,+/-27,45,+/-44,0,+/-27,0,+/-27,1700,Astronomers and physicists
EEOALL10W,C2100US,United States - Place of Work,18,Percent,2.2,+/-0.9,0.1,+/-0.2,1.5,+/-0.7,0.1,+/-0.3,0,+/-0.3,0.4,+/-0.4,0,+/-0.3,0,+/-0.3,1700,Astronomers and physicists
EEOALL10W,C2100US,United States - Place of Work,18.8,50 to 54 years,,,,,,,,,,,,,,,,,1700,Astronomers and physicists
EEOALL10W,C2100US,United States - Place of Work,18.9,"Total, both sexes",,,,,,,,,,,,,,,,,1700,Astronomers and physicists
EEOALL10W,C2100US,United States - Place of Work,19,Number,"1,175",+/-212,25,+/-21,915,+/-186,35,+/-39,0,+/-27,180,+/-79,0,+/-27,20,+/-23,1700,Astronomers and physicists
EEOALL10W,C2100US,United States - Place of Work,20,Percent,11.3,+/-2.0,0.2,+/-0.2,8.8,+/-1.8,0.3,+/-0.4,0,+/-0.3,1.7,+/-0.8,0,+/-0.3,0.2,+/-0.2,1700,Astronomers and physicists
EEOALL10W,C2100US,United States - Place of Work,20.9,Male,,,,,,,,,,,,,,,,,1700,Astronomers and physicists
EEOALL10W,C2100US,United States - Place of Work,21,Number,980,+/-178,25,+/-21,770,+/-158,25,+/-34,0,+/-27,140,+/-64,0,+/-27,20,+/-23,1700,Astronomers and physicists
EEOALL10W,C2100US,United States - Place of Work,22,Percent,9.4,+/-1.7,0.2,+/-0.2,7.4,+/-1.5,0.2,+/-0.3,0,+/-0.3,1.3,+/-0.6,0,+/-0.3,0.2,+/-0.2,1700,Astronomers and physicists
EEOALL10W,C2100US,United States - Place of Work,22.9,Female,,,,,,,,,,,,,,,,,1700,Astronomers and physicists
EEOALL10W,C2100US,United States - Place of Work,23,Number,200,+/-98,0,+/-27,145,+/-89,15,+/-22,0,+/-27,40,+/-46,0,+/-27,0,+/-27,1700,Astronomers and physicists
EEOALL10W,C2100US,United States - Place of Work,24,Percent,1.9,+/-0.9,0,+/-0.3,1.4,+/-0.8,0.1,+/-0.2,0,+/-0.3,0.4,+/-0.4,0,+/-0.3,0,+/-0.3,1700,Astronomers and physicists
EEOALL10W,C2100US,United States - Place of Work,24.8,55 to 59 years,,,,,,,,,,,,,,,,,1700,Astronomers and physicists
EEOALL10W,C2100US,United States - Place of Work,24.9,"Total, both sexes",,,,,,,,,,,,,,,,,1700,Astronomers and physicists
EEOALL10W,C2100US,United States - Place of Work,25,Number,890,+/-183,75,+/-60,740,+/-173,10,+/-19,0,+/-27,65,+/-39,0,+/-27,0,+/-27,1700,Astronomers and physicists
EEOALL10W,C2100US,United States - Place of Work,26,Percent,8.6,+/-1.7,0.7,+/-0.6,7.1,+/-1.6,0.1,+/-0.2,0,+/-0.3,0.6,+/-0.4,0,+/-0.3,0,+/-0.3,1700,Astronomers and physicists
EEOALL10W,C2100US,United States - Place of Work,26.9,Male,,,,,,,,,,,,,,,,,1700,Astronomers and physicists
EEOALL10W,C2100US,United States - Place of Work,27,Number,750,+/-174,75,+/-60,610,+/-166,10,+/-19,0,+/-27,50,+/-35,0,+/-27,0,+/-27,1700,Astronomers and physicists
EEOALL10W,C2100US,United States - Place of Work,28,Percent,7.2,+/-1.6,0.7,+/-0.6,5.9,+/-1.6,0.1,+/-0.2,0,+/-0.3,0.5,+/-0.3,0,+/-0.3,0,+/-0.3,1700,Astronomers and physicists
EEOALL10W,C2100US,United States - Place of Work,28.9,Female,,,,,,,,,,,,,,,,,1700,Astronomers and physicists
EEOALL10W,C2100US,United States - Place of Work,29,Number,145,+/-63,0,+/-27,130,+/-58,0,+/-27,0,+/-27,15,+/-22,0,+/-27,0,+/-27,1700,Astronomers and physicists
EEOALL10W,C2100US,United States - Place of Work,30,Percent,1.4,+/-0.6,0,+/-0.3,1.3,+/-0.6,0,+/-0.3,0,+/-0.3,0.1,+/-0.2,0,+/-0.3,0,+/-0.3,1700,Astronomers and physicists
EEOALL10W,C2100US,United States - Place of Work,30.8,60 to 69 years,,,,,,,,,,,,,,,,,1700,Astronomers and physicists
EEOALL10W,C2100US,United States - Place of Work,30.9,"Total, both sexes",,,,,,,,,,,,,,,,,1700,Astronomers and physicists
EEOALL10W,C2100US,United States - Place of Work,31,Number,"1,705",+/-242,20,+/-33,"1,465",+/-212,30,+/-59,20,+/-32,140,+/-70,0,+/-27,20,+/-27,1700,Astronomers and physicists
EEOALL10W,C2100US,United States - Place of Work,32,Percent,16.4,+/-2.2,0.2,+/-0.3,14.1,+/-1.9,0.3,+/-0.6,0.2,+/-0.3,1.3,+/-0.7,0,+/-0.3,0.2,+/-0.3,1700,Astronomers and physicists
EEOALL10W,C2100US,United States - Place of Work,32.9,Male,,,,,,,,,,,,,,,,,1700,Astronomers and physicists
EEOALL10W,C2100US,United States - Place of Work,33,Number,"1,580",+/-239,20,+/-33,"1,400",+/-210,30,+/-59,4,+/-7,120,+/-63,0,+/-27,4,+/-10,1700,Astronomers and physicists
EEOALL10W,C2100US,United States - Place of Work,34,Percent,15.2,+/-2.2,0.2,+/-0.3,13.5,+/-1.9,0.3,+/-0.6,0,+/-0.1,1.2,+/-0.6,0,+/-0.3,0,+/-0.1,1700,Astronomers and physicists
EEOALL10W,C2100US,United States - Place of Work,34.9,Female,,,,,,,,,,,,,,,,,1700,Astronomers and physicists
EEOALL10W,C2100US,United States - Place of Work,35,Number,125,+/-65,0,+/-27,70,+/-46,0,+/-27,15,+/-32,20,+/-30,0,+/-27,15,+/-26,1700,Astronomers and physicists
EEOALL10W,C2100US,United States - Place of Work,36,Percent,1.2,+/-0.6,0,+/-0.3,0.7,+/-0.4,0,+/-0.3,0.1,+/-0.3,0.2,+/-0.3,0,+/-0.3,0.1,+/-0.3,1700,Astronomers and physicists
EEOALL10W,C2100US,United States - Place of Work,36.8,70 years and over,,,,,,,,,,,,,,,,,1700,Astronomers and physicists
EEOALL10W,C2100US,United States - Place of Work,36.9,"Total, both sexes",,,,,,,,,,,,,,,,,1700,Astronomers and physicists
EEOALL10W,C2100US,United States - Place of Work,37,Number,455,+/-143,0,+/-27,455,+/-143,0,+/-27,0,+/-27,0,+/-27,0,+/-27,0,+/-27,1700,Astronomers and physicists
EEOALL10W,C2100US,United States - Place of Work,38,Percent,4.4,+/-1.4,0,+/-0.3,4.4,+/-1.4,0,+/-0.3,0,+/-0.3,0,+/-0.3,0,+/-0.3,0,+/-0.3,1700,Astronomers and physicists
EEOALL10W,C2100US,United States - Place of Work,38.9,Male,,,,,,,,,,,,,,,,,1700,Astronomers and physicists
EEOALL10W,C2100US,United States - Place of Work,39,Number,450,+/-144,0,+/-27,450,+/-144,0,+/-27,0,+/-27,0,+/-27,0,+/-27,0,+/-27,1700,Astronomers and physicists
EEOALL10W,C2100US,United States - Place of Work,40,Percent,4.3,+/-1.4,0,+/-0.3,4.3,+/-1.4,0,+/-0.3,0,+/-0.3,0,+/-0.3,0,+/-0.3,0,+/-0.3,1700,Astronomers and physicists
EEOALL10W,C2100US,United States - Place of Work,40.9,Female,,,,,,,,,,,,,,,,,1700,Astronomers and physicists
EEOALL10W,C2100US,United States - Place of Work,41,Number,4,+/-27,0,+/-27,4,+/-27,0,+/-27,0,+/-27,0,+/-27,0,+/-27,0,+/-27,1700,Astronomers and physicists
EEOALL10W,C2100US,United States - Place of Work,42,Percent,0,+/-0.1,0,+/-0.3,0,+/-0.1,0,+/-0.3,0,+/-0.3,0,+/-0.3,0,+/-0.3,0,+/-0.3,1700,Astronomers and physicists
EEOALL10W,C2100US,United States - Place of Work,0.8,16 to 39 years,,,,,,,,,,,,,,,,,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,0.9,"Total, both sexes",,,,,,,,,,,,,,,,,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,1,Number,"4,945",+/-586,330,+/-120,"4,095",+/-536,220,+/-111,4,+/-6,195,+/-122,4,+/-2,95,+/-63,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,2,Percent,48.6,+/-3.8,3.2,+/-1.2,40.2,+/-3.7,2.2,+/-1.1,0,+/-0.1,1.9,+/-1.2,0,+/-0.1,0.9,+/-0.6,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,2.9,Male,,,,,,,,,,,,,,,,,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,3,Number,"3,620",+/-530,170,+/-91,"3,005",+/-490,195,+/-109,4,+/-6,150,+/-123,4,+/-2,90,+/-60,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,4,Percent,35.6,+/-3.9,1.7,+/-0.9,29.5,+/-3.8,1.9,+/-1.0,0,+/-0.1,1.5,+/-1.2,0,+/-0.1,0.9,+/-0.6,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,4.9,Female,,,,,,,,,,,,,,,,,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,5,Number,"1,325",+/-241,155,+/-87,"1,090",+/-196,25,+/-45,0,+/-27,45,+/-49,0,+/-27,4,+/-15,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,6,Percent,13,+/-2.2,1.5,+/-0.9,10.7,+/-1.8,0.2,+/-0.4,0,+/-0.3,0.4,+/-0.5,0,+/-0.3,0,+/-0.1,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,6.8,40 to 44 years,,,,,,,,,,,,,,,,,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,6.9,"Total, both sexes",,,,,,,,,,,,,,,,,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,7,Number,"1,095",+/-260,10,+/-15,875,+/-208,125,+/-127,0,+/-27,40,+/-40,0,+/-27,45,+/-45,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,8,Percent,10.8,+/-2.4,0.1,+/-0.1,8.6,+/-1.9,1.2,+/-1.2,0,+/-0.3,0.4,+/-0.4,0,+/-0.3,0.4,+/-0.4,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,8.9,Male,,,,,,,,,,,,,,,,,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,9,Number,850,+/-222,0,+/-27,690,+/-164,125,+/-127,0,+/-27,15,+/-25,0,+/-27,20,+/-26,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,10,Percent,8.3,+/-2.1,0,+/-0.3,6.8,+/-1.5,1.2,+/-1.2,0,+/-0.3,0.1,+/-0.2,0,+/-0.3,0.2,+/-0.3,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,10.9,Female,,,,,,,,,,,,,,,,,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,11,Number,240,+/-107,10,+/-15,185,+/-97,0,+/-27,0,+/-27,25,+/-30,0,+/-27,20,+/-40,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,12,Percent,2.4,+/-1.0,0.1,+/-0.1,1.8,+/-0.9,0,+/-0.3,0,+/-0.3,0.2,+/-0.3,0,+/-0.3,0.2,+/-0.4,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,12.8,45 to 49 years,,,,,,,,,,,,,,,,,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,12.9,"Total, both sexes",,,,,,,,,,,,,,,,,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,13,Number,"1,225",+/-237,45,+/-48,"1,040",+/-207,30,+/-31,0,+/-27,40,+/-28,10,+/-16,55,+/-57,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,14,Percent,12,+/-2.3,0.4,+/-0.5,10.2,+/-2.0,0.3,+/-0.3,0,+/-0.3,0.4,+/-0.3,0.1,+/-0.2,0.5,+/-0.5,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,14.9,Male,,,,,,,,,,,,,,,,,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,15,Number,"1,015",+/-209,45,+/-48,880,+/-182,25,+/-28,0,+/-27,40,+/-28,10,+/-16,15,+/-20,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,16,Percent,10,+/-2.1,0.4,+/-0.5,8.6,+/-1.8,0.2,+/-0.3,0,+/-0.3,0.4,+/-0.3,0.1,+/-0.2,0.1,+/-0.2,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,16.9,Female,,,,,,,,,,,,,,,,,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,17,Number,210,+/-94,0,+/-27,165,+/-81,4,+/-11,0,+/-27,0,+/-27,0,+/-27,40,+/-56,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,18,Percent,2.1,+/-0.9,0,+/-0.3,1.6,+/-0.8,0,+/-0.1,0,+/-0.3,0,+/-0.3,0,+/-0.3,0.4,+/-0.5,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,18.8,50 to 54 years,,,,,,,,,,,,,,,,,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,18.9,"Total, both sexes",,,,,,,,,,,,,,,,,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,19,Number,"1,060",+/-236,40,+/-37,910,+/-211,65,+/-95,0,+/-27,45,+/-33,0,+/-27,0,+/-27,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,20,Percent,10.4,+/-2.4,0.4,+/-0.4,8.9,+/-2.1,0.6,+/-0.9,0,+/-0.3,0.4,+/-0.3,0,+/-0.3,0,+/-0.3,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,20.9,Male,,,,,,,,,,,,,,,,,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,21,Number,960,+/-234,40,+/-37,820,+/-204,65,+/-95,0,+/-27,35,+/-32,0,+/-27,0,+/-27,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,22,Percent,9.4,+/-2.3,0.4,+/-0.4,8.1,+/-2.0,0.6,+/-0.9,0,+/-0.3,0.3,+/-0.3,0,+/-0.3,0,+/-0.3,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,22.9,Female,,,,,,,,,,,,,,,,,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,23,Number,100,+/-61,0,+/-27,90,+/-58,0,+/-27,0,+/-27,10,+/-16,0,+/-27,0,+/-27,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,24,Percent,1,+/-0.6,0,+/-0.3,0.9,+/-0.6,0,+/-0.3,0,+/-0.3,0.1,+/-0.2,0,+/-0.3,0,+/-0.3,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,24.8,55 to 59 years,,,,,,,,,,,,,,,,,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,24.9,"Total, both sexes",,,,,,,,,,,,,,,,,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,25,Number,930,+/-173,25,+/-30,820,+/-164,55,+/-47,0,+/-27,4,+/-13,0,+/-27,30,+/-26,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,26,Percent,9.1,+/-1.7,0.2,+/-0.3,8.1,+/-1.6,0.5,+/-0.5,0,+/-0.3,0,+/-0.1,0,+/-0.3,0.3,+/-0.3,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,26.9,Male,,,,,,,,,,,,,,,,,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,27,Number,860,+/-167,25,+/-30,780,+/-158,30,+/-28,0,+/-27,0,+/-27,0,+/-27,25,+/-26,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,28,Percent,8.4,+/-1.6,0.2,+/-0.3,7.7,+/-1.5,0.3,+/-0.3,0,+/-0.3,0,+/-0.3,0,+/-0.3,0.2,+/-0.3,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,28.9,Female,,,,,,,,,,,,,,,,,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,29,Number,75,+/-49,0,+/-27,40,+/-36,25,+/-39,0,+/-27,4,+/-13,0,+/-27,4,+/-2,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,30,Percent,0.7,+/-0.5,0,+/-0.3,0.4,+/-0.4,0.2,+/-0.4,0,+/-0.3,0,+/-0.1,0,+/-0.3,0,+/-0.1,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,30.8,60 to 69 years,,,,,,,,,,,,,,,,,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,30.9,"Total, both sexes",,,,,,,,,,,,,,,,,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,31,Number,695,+/-156,30,+/-47,595,+/-135,0,+/-27,0,+/-27,60,+/-57,0,+/-27,10,+/-14,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,32,Percent,6.8,+/-1.5,0.3,+/-0.5,5.8,+/-1.3,0,+/-0.3,0,+/-0.3,0.6,+/-0.6,0,+/-0.3,0.1,+/-0.1,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,32.9,Male,,,,,,,,,,,,,,,,,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,33,Number,655,+/-145,30,+/-47,585,+/-134,0,+/-27,0,+/-27,30,+/-34,0,+/-27,10,+/-14,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,34,Percent,6.4,+/-1.4,0.3,+/-0.5,5.7,+/-1.3,0,+/-0.3,0,+/-0.3,0.3,+/-0.3,0,+/-0.3,0.1,+/-0.1,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,34.9,Female,,,,,,,,,,,,,,,,,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,35,Number,40,+/-50,0,+/-27,10,+/-14,0,+/-27,0,+/-27,30,+/-47,0,+/-27,0,+/-27,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,36,Percent,0.4,+/-0.5,0,+/-0.3,0.1,+/-0.1,0,+/-0.3,0,+/-0.3,0.3,+/-0.5,0,+/-0.3,0,+/-0.3,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,36.8,70 years and over,,,,,,,,,,,,,,,,,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,36.9,"Total, both sexes",,,,,,,,,,,,,,,,,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,37,Number,235,+/-97,0,+/-27,235,+/-97,0,+/-27,0,+/-27,0,+/-27,0,+/-27,0,+/-27,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,38,Percent,2.3,+/-1.0,0,+/-0.3,2.3,+/-1.0,0,+/-0.3,0,+/-0.3,0,+/-0.3,0,+/-0.3,0,+/-0.3,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,38.9,Male,,,,,,,,,,,,,,,,,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,39,Number,235,+/-99,0,+/-27,235,+/-99,0,+/-27,0,+/-27,0,+/-27,0,+/-27,0,+/-27,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,40,Percent,2.3,+/-1.0,0,+/-0.3,2.3,+/-1.0,0,+/-0.3,0,+/-0.3,0,+/-0.3,0,+/-0.3,0,+/-0.3,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,40.9,Female,,,,,,,,,,,,,,,,,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,41,Number,4,+/-2,0,+/-27,4,+/-2,0,+/-27,0,+/-27,0,+/-27,0,+/-27,0,+/-27,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,42,Percent,0,+/-0.1,0,+/-0.3,0,+/-0.1,0,+/-0.3,0,+/-0.3,0,+/-0.3,0,+/-0.3,0,+/-0.3,1710,Atmospheric and space scientists
EEOALL10W,C2100US,United States - Place of Work,0.8,16 to 39 years,,,,,,,,,,,,,,,,,1720,Chemists and materials scientists
EEOALL10W,C2100US,United States - Place of Work,0.9,"Total, both sexes",,,,,,,,,,,,,,,,,1720,Chemists and materials scientists
EEOALL10W,C2100US,United States - Place of Work,1,Number,"42,935","+/-1,727","3,185",+/-510,"27,675","+/-1,270","3,355",+/-469,95,+/-62,"7,460",+/-631,125,+/-109,"1,040",+/-363,1720,Chemists and materials scientists
EEOALL10W,C2100US,United States - Place of Work,2,Percent,49.3,+/-1.3,3.7,+/-0.6,31.8,+/-1.2,3.9,+/-0.5,0.1,+/-0.1,8.6,+/-0.7,0.1,+/-0.1,1.2,+/-0.4,1720,Chemists and materials scientists
EEOALL10W,C2100US,United States - Place of Work,2.9,Male,,,,,,,,,,,,,,,,,1720,Chemists and materials scientists
EEOALL10W,C2100US,United States - Place of Work,3,Number,"24,535","+/-1,359","1,965",+/-400,"16,410",+/-971,"1,570",+/-392,10,+/-21,"3,875",+/-465,35,+/-40,665,+/-357,1720,Chemists and materials scientists
EEOALL10W,C2100US,United States - Place of Work,4,Percent,28.2,+/-1.2,2.3,+/-0.5,18.9,+/-1.0,1.8,+/-0.4,0,+/-0.1,4.5,+/-0.5,0,+/-0.1,0.8,+/-0.4,1720,Chemists and materials scientists
EEOALL10W,C2100US,United States - Place of Work,4.9,Female,,,,,,,,,,,,,,,,,1720,Chemists and materials scientists
EEOALL10W,C2100US,United States - Place of Work,5,Number,"18,400","+/-1,065","1,220",+/-238,"11,265",+/-848,"1,785",+/-337,85,+/-57,"3,580",+/-477,90,+/-93,375,+/-101,1720,Chemists and materials scientists
EEOALL10W,C2100US,United States - Place of Work,6,Percent,21.1,+/-1.1,1.4,+/-0.3,12.9,+/-0.9,2.1,+/-0.4,0.1,+/-0.1,4.1,+/-0.5,0.1,+/-0.1,0.4,+/-0.1,1720,Chemists and materials scientists
EEOALL10W,C2100US,United States - Place of Work,6.8,40 to 44 years,,,,,,,,,,,,,,,,,1720,Chemists and materials scientists
EEOALL10W,C2100US,United States - Place of Work,6.9,"Total, both sexes",,,,,,,,,,,,,,,,,1720,Chemists and materials scientists
EEOALL10W,C2100US,United States - Place of Work,7,Number,"8,825",+/-693,590,+/-167,"5,110",+/-429,870,+/-238,25,+/-31,"2,005",+/-325,0,+/-27,220,+/-214,1720,Chemists and materials scientists
EEOALL10W,C2100US,United States - Place of Work,8,Percent,10.1,+/-0.7,0.7,+/-0.2,5.9,+/-0.5,1,+/-0.3,0,+/-0.1,2.3,+/-0.4,0,+/-0.1,0.3,+/-0.2,1720,Chemists and materials scientists
EEOALL10W,C2100US,United States - Place of Work,8.9,Male,,,,,,,,,,,,,,,,,1720,Chemists and materials scientists
EEOALL10W,C2100US,United States - Place of Work,9,Number,"5,605",+/-603,360,+/-132,"3,340",+/-373,510,+/-164,15,+/-25,"1,175",+/-255,0,+/-27,210,+/-213,1720,Chemists and materials scientists
EEOALL10W,C2100US,United States - Place of Work,10,Percent,6.4,+/-0.6,0.4,+/-0.2,3.8,+/-0.4,0.6,+/-0.2,0,+/-0.1,1.3,+/-0.3,0,+/-0.1,0.2,+/-0.2,1720,Chemists and materials scientists
EEOALL10W,C2100US,United States - Place of Work,10.9,Female,,,,,,,,,,,,,,,,,1720,Chemists and materials scientists
EEOALL10W,C2100US,United States - Place of Work,11,Number,"3,220",+/-364,230,+/-105,"1,775",+/-271,360,+/-164,10,+/-21,830,+/-209,0,+/-27,15,+/-20,1720,Chemists and materials scientists
EEOALL10W,C2100US,United States - Place of Work,12,Percent,3.7,+/-0.4,0.3,+/-0.1,2,+/-0.3,0.4,+/-0.2,0,+/-0.1,1,+/-0.2,0,+/-0.1,0,+/-0.1,1720,Chemists and materials scientists
EEOALL10W,C2100US,United States - Place of Work,12.8,45 to 49 years,,,,,,,,,,,,,,,,,1720,Chemists and materials scientists
EEOALL10W,C2100US,United States - Place of Work,12.9,"Total, both sexes",,,,,,,,,,,,,,,,,1720,Chemists and materials scientists
EEOALL10W,C2100US,United States - Place of Work,13,Number,"9,120",+/-721,515,+/-156,"6,025",+/-516,470,+/-173,65,+/-63,"1,915",+/-327,0,+/-27,130,+/-72,1720,Chemists and materials scientists
EEOALL10W,C2100US,United States - Place of Work,14,Percent,10.5,+/-0.8,0.6,+/-0.2,6.9,+/-0.6,0.5,+/-0.2,0.1,+/-0.1,2.2,+/-0.4,0,+/-0.1,0.1,+/-0.1,1720,Chemists and materials scientists
EEOALL10W,C2100US,United States - Place of Work,14.9,Male,,,,,,,,,,,,,,,,,1720,Chemists and materials scientists
EEOALL10W,C2100US,United States - Place of Work,15,Number,"6,020",+/-620,260,+/-112,"4,195",+/-463,255,+/-96,35,+/-48,"1,245",+/-281,0,+/-27,30,+/-26,1720,Chemists and materials scientists
EEOALL10W,C2100US,United States - Place of Work,16,Percent,6.9,+/-0.7,0.3,+/-0.1,4.8,+/-0.5,0.3,+/-0.1,0,+/-0.1,1.4,+/-0.3,0,+/-0.1,0,+/-0.1,1720,Chemists and materials scientists
EEOALL10W,C2100US,United States - Place of Work,16.9,Female,,,,,,,,,,,,,,,,,1720,Chemists and materials scientists
EEOALL10W,C2100US,United States - Place of Work,17,Number,"3,095",+/-317,260,+/-102,"1,830",+/-271,215,+/-142,25,+/-37,670,+/-154,0,+/-27,100,+/-66,1720,Chemists and materials scientists
EEOALL10W,C2100US,United States - Place of Work,18,Percent,3.6,+/-0.4,0.3,+/-0.1,2.1,+/-0.3,0.2,+/-0.2,0,+/-0.1,0.8,+/-0.2,0,+/-0.1,0.1,+/-0.1,1720,Chemists and materials scientists
EEOALL10W,C2100US,United States - Place of Work,18.8,50 to 54 years,,,,,,,,,,,,,,,,,1720,Chemists and materials scientists
